 "ticks" "state 0" "state 1" "state 2" "state 3" "state 4" "bioenergy success"
 0 0 50 0 0 0 27173.97500000001
 1 0 50 0 0 0 27972.033829185035
 2 0 50 0 0 0 28825.94626904573
 3 0 49 1 0 0 29659.561095510773
 4 0 48 2 0 0 30414.26876176015
 5 0 48 2 0 0 31180.919991678842
 6 0 47 3 0 0 31796.682410423175
 7 0 47 3 0 0 32379.200414737566
 8 0 40 10 0 0 32279.320003397752
 9 0 46 4 0 0 32662.941768942823
 10 0 47 3 0 0 33181.471363905606
 11 0 46 4 0 0 33676.377174281835
 12 0 46 4 0 0 34181.58205886265
 13 0 44 6 0 0 34540.125709715256
 14 0 46 4 0 0 35033.52579958486
 15 0 43 7 0 0 35263.62256688614
 16 0 46 4 0 0 35763.47296795232
 17 0 44 6 0 0 36139.16080540267
 18 0 46 4 0 0 36622.70918802254
 19 0 36 14 0 0 36223.38589981517
 20 0 46 4 0 0 36750.601313855404
 21 0 45 4 1 0 37262.804320528216
 22 0 42 7 1 0 37466.02429705011
 23 0 45 4 1 0 37971.41416869516
 24 0 46 3 1 0 38541.19374530817
 25 0 43 6 1 0 38914.92201830316
 26 0 45 4 1 0 39371.654399517916
 27 0 42 7 1 0 39670.53489626338
 28 0 44 5 1 0 40009.383604468705
 29 0 41 8 1 0 40127.0948341282
 30 0 45 4 1 0 40539.19507875557
 31 0 44 5 1 0 40925.42341601527
 32 0 41 8 1 0 41093.90720146816
 33 0 43 6 1 0 41505.41428515727
 34 0 47 2 1 0 42136.099061307934
 35 0 41 8 1 0 42250.809331947064
 36 0 41 8 1 0 42460.057643081556
 37 0 44 5 1 0 42855.398248023266
 38 0 42 7 1 0 43078.670564600805
 39 0 46 3 1 0 43713.726499491844
 40 0 44 5 1 0 44158.55947139009
 41 0 45 4 1 0 44640.195620321174
 42 0 41 8 1 0 44792.847384595145
 43 0 44 5 1 0 45142.36738859686
 44 0 45 4 1 0 45593.62533813228
 45 0 43 6 1 0 46003.91674228172
 46 0 43 6 1 0 46275.06196161874
 47 0 43 6 1 0 46595.61846951433
 48 0 46 3 1 0 47162.8430857125
 49 0 45 4 1 0 47609.11644118698
 50 0 44 5 1 0 47967.354351528134
 51 0 44 5 1 0 48295.64944914535
 52 0 38 11 1 0 48182.15158115457
 53 0 47 2 1 0 48958.65240831021
 54 0 45 4 1 0 49516.0108387896
 55 0 45 4 1 0 50059.06016028892
 56 0 44 5 1 0 50462.87993882359
 57 0 43 6 1 0 50794.203320646026
 58 0 40 9 1 0 50836.246823312336
 59 0 45 4 1 0 51279.861161361194
 60 0 46 3 1 0 51859.34120289908
 61 0 46 3 1 0 52497.186230743566
 62 0 40 9 1 0 52575.36044458473
 63 0 43 6 1 0 52892.68632224388
 64 0 42 7 1 0 53106.78032543365
 65 0 43 6 1 0 53389.77112878027
 66 0 42 7 1 0 53609.3996888465
 67 0 46 3 1 0 54200.50446659497
 68 0 47 2 1 0 54949.13936590083
 69 0 44 5 1 0 55326.0815923502
 70 0 40 9 1 0 55352.27691914829
 71 0 41 8 1 0 55507.64788847153
 72 0 46 3 1 0 56125.06186582392
 73 0 45 4 1 0 56579.33329049048
 74 0 39 10 1 0 56357.48035363231
 75 0 45 4 1 0 56825.6490373406
 76 0 45 4 1 0 57226.35463228941
 77 0 42 7 1 0 57303.825612610104
 78 0 46 3 1 0 57892.1431768276
 79 0 45 4 1 0 58387.313655191094
 80 0 41 8 1 0 58540.807966526154
 81 0 47 2 1 0 59223.2471818242
 82 0 46 3 1 0 59878.170747144824
 83 0 44 5 1 0 60228.651699555085
 84 0 38 11 1 0 60028.60060691224
 85 0 46 3 1 0 60603.234853345966
 86 0 47 2 1 0 61165.49268309193
 87 0 41 8 1 0 61066.29436382562
 88 0 43 6 1 0 61233.62391546354
 89 0 47 2 1 0 61899.92467510697
 90 0 46 3 1 0 62459.95782603293
 91 0 42 7 1 0 62760.897092952924
 92 0 46 3 1 0 63390.54954826164
 93 0 42 7 1 0 63652.790291087236
 94 0 46 3 1 0 64232.702094932065
 95 0 41 8 1 0 64297.71564756845
 96 0 44 5 1 0 64751.770961068425
 97 0 45 4 1 0 65253.17760723603
 98 0 40 9 1 0 65292.36858014777
 99 0 43 6 1 0 65522.90259214584
 100 0 41 8 1 0 65709.00910556922
 101 0 48 1 1 0 66574.12591300474
 102 0 46 3 1 0 67252.92689268608
 103 0 44 5 1 0 67730.486460444
 104 0 44 5 1 0 68202.38249738821
 105 0 40 9 1 0 68335.73019468802
 106 0 41 7 2 0 68557.41013984993
 107 0 42 6 2 0 68915.04788368632
 108 0 45 3 2 0 69554.88993135202
 109 0 43 5 2 0 70006.62097418583
 110 0 39 9 2 0 70063.05052378356
 111 0 44 4 2 0 70576.17566982382
 112 0 43 5 2 0 70880.1253726496
 113 0 44 5 1 0 71229.05114245717
 114 0 43 6 1 0 71545.40395973723
 115 0 40 8 2 0 71709.60487955711
 116 0 46 2 2 0 72394.68547029867
 117 0 45 3 2 0 72990.72601931082
 118 0 43 5 2 0 73374.26766529799
 119 0 40 8 2 0 73529.7139220381
 120 0 43 5 2 0 73823.39615672988
 121 0 39 8 3 0 73805.24200952546
 122 0 44 3 3 0 74292.5760755752
 123 0 43 4 3 0 74791.80602790337
 124 0 44 3 3 0 75259.5403964561
 125 0 43 4 3 0 75689.86447690432
 126 0 40 7 3 0 75807.70157612654
 127 0 44 3 3 0 76301.93901360841
 128 0 40 7 3 0 76444.35543084517
 129 0 40 7 3 0 76559.54153504525
 130 0 41 6 3 0 76757.47064775696
 131 0 43 4 3 0 77195.89656413223
 132 0 44 3 3 0 77738.70340946075
 133 0 43 4 3 0 78126.10711731383
 134 0 46 1 3 0 78865.1073256061
 135 0 43 4 3 0 79364.39516994175
 136 0 42 5 3 0 79780.4238806661
 137 0 43 4 3 0 80211.95028817658
 138 0 44 4 2 0 80716.08601183243
 139 0 41 7 2 0 80899.38630792167
 140 0 42 5 3 0 81233.45989245255
 141 0 42 5 3 0 81617.81031954467
 142 0 44 3 3 0 82143.30376731533
 143 0 44 3 3 0 82733.33527856889
 144 0 46 2 2 0 83569.18656415965
 145 0 46 3 1 0 84403.10191962782
 146 0 47 2 1 0 85298.2700424395
 147 0 45 4 1 0 86045.67167934641
 148 0 46 3 1 0 86931.61747133783
 149 0 48 1 1 0 87958.06890420459
 150 0 46 3 1 0 88833.90890612332
 151 0 44 5 1 0 89485.12108950419
 152 0 43 6 1 0 90105.94617631893
 153 0 43 6 1 0 90641.17802489894
 154 0 44 5 1 0 91275.28178472779
 155 0 43 6 1 0 91868.5289037324
 156 0 45 3 2 0 92674.37006609423
 157 0 47 1 2 0 93682.05986809602
 158 0 42 6 2 0 94204.36675593583
 159 0 41 7 2 0 94684.1414876529
 160 0 45 3 2 0 95479.87163960925
 161 0 46 3 1 0 96286.55606426646
 162 0 42 7 1 0 96699.58432332412
