 "ticks" "state 0" "state 1" "state 2" "state 3" "state 4" "bioenergy success"
 0 0 50 0 0 0 27173.97500000001
 1 0 50 0 0 0 27982.99744497331
 2 0 50 0 0 0 28723.364116663077
 3 0 50 0 0 0 29487.63804510279
 4 0 50 0 0 0 30287.593914296358
 5 0 46 4 0 0 30746.669705504773
 6 0 48 2 0 0 31533.24782044864
 7 0 42 8 0 0 31789.97315906669
 8 0 48 2 0 0 32449.8072280263
 9 0 46 4 0 0 32994.614648198396
 10 0 46 4 0 0 33481.625938269965
 11 0 40 10 0 0 33557.49769586884
 12 0 45 5 0 0 34028.51535874789
 13 0 44 6 0 0 34374.87452673975
 14 0 46 4 0 0 34895.118135275065
 15 0 42 8 0 0 35037.92723281546
 16 0 43 7 0 0 35222.192957355415
 17 0 45 5 0 0 35607.31827993914
 18 0 47 3 0 0 36155.44988520698
 19 0 46 4 0 0 36651.05333771454
 20 0 46 4 0 0 37033.999000279524
 21 0 43 7 0 0 37236.86659476237
 22 0 45 5 0 0 37593.266864446254
 23 0 43 7 0 0 37810.2258220041
 24 0 46 4 0 0 38425.09984924432
 25 0 45 5 0 0 38794.34615827863
 26 0 44 6 0 0 39100.489981611
 27 0 47 3 0 0 39716.64053612013
 28 0 43 7 0 0 39994.197301492044
 29 0 47 3 0 0 40696.1322654256
 30 0 45 5 0 0 41124.20072151704
 31 0 46 4 0 0 41677.08232204264
 32 0 50 0 0 0 42579.9984625565
 33 0 44 6 0 0 42867.59437061128
 34 0 46 4 0 0 43335.36484268554
 35 0 47 3 0 0 43932.3444886141
 36 0 45 5 0 0 44315.37602106529
 37 0 44 6 0 0 44532.47437503258
 38 0 45 5 0 0 44991.25230778561
 39 0 43 7 0 0 45243.66428321302
 40 0 46 4 0 0 45807.249208942696
 41 0 46 4 0 0 46282.36876912197
 42 0 45 5 0 0 46597.92972540253
 43 0 46 4 0 0 46996.65363559343
 44 0 46 4 0 0 47402.88121847311
 45 0 47 3 0 0 47938.404891647835
 46 0 44 6 0 0 48234.14669064872
 47 0 46 4 0 0 48724.50108354614
 48 0 46 4 0 0 49320.09161931071
 49 0 47 3 0 0 49890.619442510084
 50 0 43 7 0 0 50167.960490884565
 51 0 45 5 0 0 50604.5050801994
 52 0 43 7 0 0 50778.091456395254
 53 0 46 4 0 0 51310.7866010813
 54 0 46 4 0 0 51857.6723811986
 55 0 47 3 0 0 52484.55273328366
 56 0 49 1 0 0 53277.095881634494
 57 0 46 4 0 0 53778.18525044539
 58 0 46 4 0 0 54319.64137153307
 59 0 45 5 0 0 54777.37381251532
 60 0 41 9 0 0 54719.97218180562
 61 0 47 3 0 0 55307.491568344274
 62 0 46 4 0 0 55803.93489242218
 63 0 45 5 0 0 56163.55707282657
 64 0 46 4 0 0 56689.18930603084
 65 0 46 4 0 0 57199.29121869715
 66 0 44 6 0 0 57559.579201513545
 67 0 44 6 0 0 57926.217792480325
 68 0 50 0 0 0 58834.431802068284
 69 0 46 4 0 0 59337.34942624276
 70 0 44 6 0 0 59733.9771569251
 71 0 43 7 0 0 59998.6772884054
 72 0 47 3 0 0 60575.493385057685
 73 0 44 6 0 0 60904.64447616166
 74 0 45 5 0 0 61393.53806442439
 75 0 48 2 0 0 62047.90596018865
 76 0 47 3 0 0 62530.71898192534
 77 0 45 5 0 0 62906.600864168235
 78 0 47 3 0 0 63510.237002845846
 79 0 49 1 0 0 64337.93397516727
 80 0 46 4 0 0 64906.01297356538
 81 0 44 6 0 0 65273.04896577838
 82 0 44 6 0 0 65620.48231346718
 83 0 49 1 0 0 66321.2353239973
 84 0 44 6 0 0 66608.95247822862
 85 0 44 6 0 0 67002.21944525636
 86 0 43 7 0 0 67289.5734376179
 87 0 44 6 0 0 67478.79733464323
 88 0 47 3 0 0 68116.48098634332
 89 0 45 5 0 0 68576.89035014836
 90 0 45 5 0 0 69088.33364322178
 91 0 44 6 0 0 69515.57312971645
 92 0 45 5 0 0 69958.72628792356
 93 0 43 7 0 0 70221.32645130748
 94 0 48 2 0 0 70927.22385733009
 95 0 47 3 0 0 71608.8938721002
 96 0 46 4 0 0 72197.05484515896
 97 0 45 5 0 0 72784.68593236897
 98 0 45 5 0 0 73291.50356420866
 99 0 45 5 0 0 73823.96840982937
 100 0 44 6 0 0 74218.25947732251
 101 0 46 4 0 0 74864.47999162128
 102 0 43 7 0 0 75201.89036047214
 103 0 45 5 0 0 75729.54303556352
 104 0 39 11 0 0 75644.52887089722
 105 0 46 4 0 0 76209.77302109366
 106 0 47 3 0 0 76840.3262999156
 107 0 47 3 0 0 77494.98258789832
 108 0 46 4 0 0 78110.23613350754
 109 0 43 7 0 0 78433.88091307372
 110 0 45 5 0 0 78857.07249648319
 111 0 45 5 0 0 79273.11511691977
 112 0 43 7 0 0 79609.67288976001
 113 0 49 1 0 0 80542.94161193115
 114 0 43 7 0 0 80840.81154040614
 115 0 44 6 0 0 81256.6036228198
 116 0 44 6 0 0 81599.6555799415
 117 0 45 5 0 0 81971.30324946082
 118 0 49 1 0 0 82702.38065049796
 119 0 46 4 0 0 83262.99319751153
 120 0 45 5 0 0 83718.61053616586
 121 0 42 8 0 0 83981.4970759058
 122 0 47 3 0 0 84676.60086559565
 123 0 44 6 0 0 85017.58704961908
 124 0 46 4 0 0 85541.64789320063
 125 0 50 0 0 0 86513.73097396299
 126 0 44 6 0 0 86850.02865351304
 127 0 43 7 0 0 87100.13734593573
 128 0 46 4 0 0 87565.71228205724
 129 0 47 3 0 0 88225.9154400727
 130 0 42 8 0 0 88414.15183016693
 131 0 44 6 0 0 88778.26097483482
 132 0 48 2 0 0 89545.20505069775
 133 0 48 2 0 0 90361.99438565804
 134 0 41 9 0 0 90514.23373310352
 135 0 44 6 0 0 90876.84787034897
 136 0 47 3 0 0 91491.42557933406
 137 0 42 8 0 0 91646.85959401586
 138 0 47 3 0 0 92356.46884044308
 139 0 47 3 0 0 92965.54396524819
 140 0 44 6 0 0 93381.43925453289
 141 0 46 4 0 0 93991.70282848674
 142 0 42 8 0 0 94259.04460368863
 143 0 42 8 0 0 94415.9355438269
 144 0 42 8 0 0 94832.74887081968
 145 0 48 2 0 0 95827.01765119506
 146 0 48 2 0 0 96741.16650400007
 147 0 46 4 0 0 97571.59319202123
 148 0 48 2 0 0 98582.82025885241
 149 0 46 4 0 0 99277.73344165299
 150 0 48 2 0 0 100213.81236622551
 151 0 44 6 0 0 100890.48697120542
 152 0 43 7 0 0 101498.81025567476
 153 0 48 2 0 0 102503.94165697783
 154 0 46 4 0 0 103292.89289425791
 155 0 48 2 0 0 104293.49393522939
 156 0 46 4 0 0 105061.04810778571
 157 0 46 4 0 0 105833.05335196684
 158 0 47 3 0 0 106768.44799324179
 159 0 48 2 0 0 107859.18406019293
 160 0 47 3 0 0 108845.56190340954
 161 0 47 3 0 0 109747.32362000758
 162 0 46 4 0 0 110511.67831034592
 163 0 44 6 0 0 111070.14491451331
 164 0 46 4 0 0 111861.97731179716
 165 0 46 4 0 0 112675.61986220632
 166 0 46 4 0 0 113438.9660009624
 167 0 44 6 0 0 114045.83291742044
 168 0 47 3 0 0 114876.78138510518
 169 0 50 0 0 0 116073.86842627729
 170 0 46 4 0 0 116938.16490370747
 171 0 47 3 0 0 117934.4229585582
 172 0 45 5 0 0 118710.56206372222
 173 0 48 2 0 0 119770.16331774674
 174 0 49 1 0 0 120848.94001753238
 175 0 50 0 0 0 122074.97692583123
 176 0 45 5 0 0 122812.88545459503
 177 0 47 3 0 0 123590.54955262346
 178 0 43 7 0 0 124140.94143295987
 179 0 50 0 0 0 125275.66795509534
 180 0 46 4 0 0 126071.95651983617
 181 0 45 5 0 0 126848.08733124501
 182 0 48 2 0 0 127809.13642342263
 183 0 45 5 0 0 128592.46881654445
 184 0 49 1 0 0 129650.11646189053
 185 0 43 7 0 0 130086.49159691454
 186 0 45 5 0 0 130900.00409779932
 187 0 47 3 0 0 131931.43336442893
 188 0 47 3 0 0 132904.80159882412
 189 0 49 1 0 0 134011.81815903174
 190 0 41 9 0 0 134379.86778163462
 191 0 47 3 0 0 135261.94126297525
 192 0 47 3 0 0 136105.2068028852
 193 0 49 1 0 0 137058.79888274273
 194 0 48 2 0 0 138003.15576759275
 195 0 44 6 0 0 138577.58402840694
 196 0 48 2 0 0 139553.73156911417
 197 0 49 1 0 0 140638.01017223342
 198 0 44 6 0 0 141274.32288626733
 199 0 46 4 0 0 142063.69884214134
 200 0 47 3 0 0 142792.8543003976
 201 0 47 3 0 0 143673.88529126474
 202 0 48 2 0 0 144624.61737031792
 203 0 48 2 0 0 145585.6340223009
 204 0 44 6 0 0 146238.45741487975
 205 0 47 3 0 0 147122.84336796214
