 "year" "mean season Bio-E" "fcm convergence" "probability of mutation" "mutated?" "recombined?" "decay-rate" "energy-gain" "ndvi-weight" "caribou-veg-factor" "caribou-rough-factor" "caribou-insect-factor" "caribou-modifier-factor" "caribou-deflection-factor" "caribou-precip-factor" "solution success"
 0 -2884037.099857746 0 0 0 0 0.928 0.939 0.468 0.112 0.223 0.551 0.387 0.86 0.759 0
 1 -3482800.7688890765 0 0 0 0 0.928 0.939 0.468 0.112 0.223 0.551 0.387 0.86 0.759 0
 2 -3644354.31835707 0.21999999999999997 0.18699999999999997 0 0 0.928 0.939 0.468 0.112 0.223 0.551 0.387 0.86 0.759 0
 3 -3954798.5083250673 0.28 0.23800000000000002 0 0 0.928 0.939 0.468 0.112 0.223 0.551 0.387 0.86 0.759 0
 4 -4103804.144841071 0.33999999999999997 0.289 0 0 0.928 0.939 0.468 0.112 0.223 0.551 0.387 0.86 0.759 0
 5 -3933348.9369213623 0.28 0.23800000000000002 0 0 0.928 0.939 0.468 0.112 0.223 0.551 0.387 0.86 0.759 0
 6 -3009140.949501693 0.31999999999999995 0.27199999999999996 1 0 0.928 0.939 0.468 0.112 0.223 0.551 0.387 0.86 0.759 0
 7 -3455851.7176307295 0.33999999999999997 0.289 0 0 0.661 0.719 0.24800000000000005 0 0.6829999999999999 1 0.847 0.593 0.492 0
 8 -2698335.682130715 0.33999999999999997 0.289 0 0 0.661 0.719 0.24800000000000005 0 0.6829999999999999 1 0.847 0.593 0.492 0
 9 -2240968.789655189 0.31999999999999995 0.27199999999999996 1 0 0.661 0.719 0.24800000000000005 0 0.6829999999999999 1 0.847 0.593 0.492 0
 10 -1787689.8587140245 0.45999999999999996 0.39099999999999996 0 0 0.30500000000000005 0.576 0 0 0.32699999999999996 0.644 0.704 0.31099999999999994 0.349 0
 11 -1313801.7062632719 0.38 0.323 0 0 0.30500000000000005 0.576 0 0 0.32699999999999996 0.644 0.704 0.31099999999999994 0.349 0
 12 -2064270.3342830425 0.38 0.323 1 0 0.30500000000000005 0.576 0 0 0.32699999999999996 0.644 0.704 0.31099999999999994 0.349 0
 13 -1762494.7341356573 0.33999999999999997 0.289 1 0 0.3410000000000001 0.967 0.369 0.369 0.718 0.68 1 0.347 0.74 0
 14 -1310173.6692407737 0.26 0.221 0 0 0.032000000000000084 0.6579999999999999 0.628 0.06 0.977 0.92 1 0.587 0.999 0
 15 -1466404.2577182984 0.38 0.323 1 0 0.032000000000000084 0.6579999999999999 0.628 0.06 0.977 0.92 1 0.587 0.999 0
 16 -1302273.2593158467 0.45999999999999996 0.39099999999999996 0 0 0 0.5119999999999999 0.21899999999999997 0 0.568 0.47000000000000003 0.854 0.13699999999999996 0.59 0
 17 -1152742.1678071152 0.38 0.323 0 0 0 0.5119999999999999 0.21899999999999997 0 0.568 0.47000000000000003 0.854 0.13699999999999996 0.59 0
 18 -1438938.6728509623 0.42000000000000004 0.35700000000000004 0 0 0 0.5119999999999999 0.21899999999999997 0 0.568 0.47000000000000003 0.854 0.13699999999999996 0.59 0
 19 -1298886.666324706 0.42000000000000004 0.35700000000000004 0 0 0 0.5119999999999999 0.21899999999999997 0 0.568 0.47000000000000003 0.854 0.13699999999999996 0.59 0
 20 -1444122.6278335438 0.28 0.23800000000000002 1 0 0 0.5119999999999999 0.21899999999999997 0 0.568 0.47000000000000003 0.854 0.13699999999999996 0.59 0
 21 -1292575.9284151604 0.28 0.23800000000000002 0 0 0 0.2609999999999999 0 0.22099999999999997 0.7889999999999999 0.21900000000000003 0.709 0.35799999999999993 0.44499999999999995 0
 22 -1727484.9309419512 0.24 0.204 1 0 0 0.2609999999999999 0 0.22099999999999997 0.7889999999999999 0.21900000000000003 0.709 0.35799999999999993 0.44499999999999995 0
 23 -2341369.7479275106 0.30000000000000004 0.255 0 0 0 0.2649999999999999 0.0040000000000000036 0 0.7929999999999999 0 0.46099999999999997 0.10999999999999993 0.13799999999999996 0
 24 -2340493.5859275027 0.48 0.408 1 0 0 0.2649999999999999 0.0040000000000000036 0 0.7929999999999999 0 0.46099999999999997 0.10999999999999993 0.13799999999999996 0
 25 -1726940.796491161 0.43999999999999995 0.37399999999999994 1 0 0 0.039999999999999925 0 0 0.603 0 0.27099999999999996 0 0 0
 26 -1106781.931999999 0.36 0.306 0 0 0 0 0 0 0.5429999999999999 0 0.19999999999999996 0 0 0
 27 -331213.21499999944 0.36 0.2508458822401225 0 0 0 0 0 0 0.5429999999999999 0 0.19999999999999996 0 0 0.110308235519755
 28 -479856.1044999999 0.48 0.408 1 0 0 0 0 0 0.5429999999999999 0 0.19999999999999996 0 0 0
 29 -331116.1879986225 0.48 0.35280866436464225 1 1 0.10299999999999998 0.040000000000000036 0.040000000000000036 0.040000000000000036 0.6459999999999999 0.15200000000000002 0.30299999999999994 0.15200000000000002 0.15200000000000002 0.11038267127071544
 30 -338777.6564894949 0.38 0.27074747084368816 0 0 0 0.15300000000000002 0 0 0.7889999999999999 0.29500000000000004 0.44599999999999995 0.30500000000000005 0.30500000000000005 0.10450505831262369
 31 -494750.8199868966 0.42000000000000004 0.35700000000000004 1 0 0 0.15300000000000002 0 0 0.7889999999999999 0.29500000000000004 0.44599999999999995 0.30500000000000005 0.30500000000000005 0
 32 -493711.71196858777 0.33999999999999997 0.289 1 0 0.21399999999999997 0.367 0.026000000000000023 0.026000000000000023 0.961 0.509 0.618 0.4770000000000001 0.33100000000000007 0
 33 -803956.6434594948 0.4 0.34 0 0 0.025999999999999968 0.296 0 0.31100000000000005 1 0.794 0.43 0.4060000000000001 0.14300000000000007 0
 34 -494761.50896959304 0.38 0.323 0 0 0.025999999999999968 0.296 0 0.31100000000000005 1 0.794 0.43 0.4060000000000001 0.14300000000000007 0
 35 -334376.77398476045 0.36 0.25205936861709266 0 0 0.025999999999999968 0.296 0 0.31100000000000005 1 0.794 0.43 0.4060000000000001 0.14300000000000007 0.10788126276581467
 36 -330993.271489861 0.28 0.182761515723 0 0 0.025999999999999968 0.296 0 0.31100000000000005 1 0.794 0.43 0.4060000000000001 0.14300000000000007 0.11047696855400002
 37 -328168.3794949171 0.26 0.16467793613153706 0 0 0.025999999999999968 0.296 0 0.31100000000000005 1 0.794 0.43 0.4060000000000001 0.14300000000000007 0.11264412773692589
 38 -479747.05149487994 0.33999999999999997 0.289 0 0 0.025999999999999968 0.296 0 0.31100000000000005 1 0.794 0.43 0.4060000000000001 0.14300000000000007 0
 39 -788962.6889847491 0.28 0.23800000000000002 1 1 0.025999999999999968 0.296 0 0.31100000000000005 1 0.794 0.43 0.4060000000000001 0.14300000000000007 0
 40 -793264.7489635639 0.28 0.23800000000000002 0 0 0.378 0.531 0.02400000000000002 0.02400000000000002 1 0.507 1 0.92 0.754 0
 41 -641911.0989636314 0.33999999999999997 0.289 0 0 0.378 0.531 0.02400000000000002 0.02400000000000002 1 0.507 1 0.92 0.754 0
 42 -956890.0534274003 0.36 0.306 0 0 0.378 0.531 0.02400000000000002 0.02400000000000002 1 0.507 1 0.92 0.754 0
 43 -339241.88246362173 0.19999999999999996 0.11792553987864271 0 0 0.378 0.531 0.02400000000000002 0.02400000000000002 1 0.507 1 0.92 0.754 0.1041489202427145
 44 -345334.55644548236 0.28 0.18826258398369103 0 0 0.378 0.531 0.02400000000000002 0.02400000000000002 1 0.507 1 0.92 0.754 0.09947483203261798
 45 -341036.11545456736 0.30000000000000004 0.2036137765456722 0 0 0.378 0.531 0.02400000000000002 0.02400000000000002 1 0.507 1 0.92 0.754 0.10277244690865561
 46 -336916.02746365237 0.30000000000000004 0.20203338222618045 0 0 0.378 0.531 0.02400000000000002 0.02400000000000002 1 0.507 1 0.92 0.754 0.10593323554763912
 47 -330729.3469818076 0.31999999999999995 0.21666027885761702 1 1 0.378 0.531 0.02400000000000002 0.02400000000000002 1 0.507 1 0.92 0.754 0.1106794422847659
 48 -327631.4829984738 0.4 0.2834719919441787 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.11305601611164262
 49 -324539.04749999556 0.33999999999999997 0.2312857873034121 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.11542842539317577
 50 -327646.5434984676 0.28 0.18147776889085834 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.11304446221828335
 51 -334846.4284954275 0.24 0.1502395199445444 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.10752096011091117
 52 -335872.8839954263 0.26 0.16763325047772396 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.1067334990445521
 53 -337956.3324938987 0.28 0.18543242519904055 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.10513514960191894
 54 -335872.2854954262 0.26 0.16763302090350066 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.10673395819299869
 55 -344090.1629923901 0.19999999999999996 0.1197852562302992 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.10042948753940151
 56 -345123.8564923853 0.28 0.18818176313478538 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.09963647373042928
 57 -341013.98499390564 0.21999999999999997 0.13560528768465888 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.10278942463068219
 58 -349243.37399086065 0.31999999999999995 0.22376193862326837 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.09647612275346318
 59 -341028.50299389585 0.33999999999999997 0.23761085653774294 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.10277828692451407
 60 -348232.006990854 0.36 0.2573739957770824 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.09725200844583515
 61 -355461.9849878031 0.38 0.277147289983814 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.09170542003237203
 62 -345141.35299237655 0.30000000000000004 0.20518847448882876 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.09962305102234248
 63 -363684.72048476257 0.28 0.1953013887551832 0 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.08539722248963366
 64 -370917.0924817117 0.28 0.19807560125880777 1 0 0 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.07984879748238449
 65 -378161.462478659 0.28 0.20085441598721102 0 0 0.563 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.074291168025578
 66 -374033.62198018027 0.36 0.26727104794023016 1 0 0.563 0.08899999999999997 0 0 0.7929999999999999 0.716 0 0.09800000000000003 0.22700000000000004 0.07745790411953968
 67 -383330.777000001 0.36 0.2708372754123517 0 0 0.10199999999999992 0 0 0 0.633 0.38 0 0 0.06700000000000006 0.0703254491752966
 68 -388528.2209999978 0.36 0.2728309248177974 0 0 0.10199999999999992 0 0 0 0.633 0.38 0 0 0.06700000000000006 0.06633815036440516
 69 -401982.6829999953 0.31999999999999995 0.24399182316839085 0 0 0.10199999999999992 0 0 0 0.633 0.38 0 0 0.06700000000000006 0.05601635366321822
 70 -414277.5004999983 0.33999999999999997 0.2657079019946291 0 0 0.10199999999999992 0 0 0 0.633 0.38 0 0 0.06700000000000006 0.04658419601074171
 71 -418477.4969999966 0.28 0.21631894783275665 0 0 0.10199999999999992 0 0 0 0.633 0.38 0 0 0.06700000000000006 0.04336210433448673
 72 -415388.0959999968 0.28 0.2151339071729945 0 0 0.10199999999999992 0 0 0 0.633 0.38 0 0 0.06700000000000006 0.04573218565401105
 73 -431844.3819999981 0.31999999999999995 0.2554462531645562 0 0 0.10199999999999992 0 0 0 0.633 0.38 0 0 0.06700000000000006 0.0331074936708875
 74 -446265.7959999982 0.31999999999999995 0.26097805753739867 0 0 0.10199999999999992 0 0 0 0.633 0.38 0 0 0.06700000000000006 0.022043884925202595
 75 -449412.34849999583 0.33999999999999997 0.2791850205216708 1 0 0.10199999999999992 0 0 0 0.633 0.38 0 0 0.06700000000000006 0.01962995895665831
 76 -445318.1079999956 0.43999999999999995 0.36261454085155176 0 0 0.3379999999999999 0 0.236 0 0.33899999999999997 0.0020000000000000018 0 0 0.30300000000000005 0.02277091829689637
