 "ticks" "state 0" "state 1" "state 2" "state 3" "state 4" "bioenergy success"
 0 10 10 11 8 11 25352.253000000004
 1 4 9 11 12 14 37719.70079956745
 2 5 7 9 15 14 48105.077798688464
 3 5 6 9 16 14 57920.91253748244
 4 6 6 8 16 14 68551.84429065873
 5 5 6 9 16 14 79123.612789582
 6 5 6 9 16 14 88795.23566236575
 7 6 6 8 16 14 98898.4315914247
 8 6 6 9 15 14 109068.14688236766
 9 6 7 8 15 14 119872.13275638595
 10 5 6 9 15 15 131148.81235170952
 11 6 6 8 16 14 141343.29149776386
 12 5 6 8 17 14 151716.86456312102
 13 5 6 8 17 14 162033.5208099078
 14 5 6 8 17 14 172669.86471820026
 15 5 6 8 17 14 182341.14252633372
 16 5 6 9 16 14 192801.11946610987
 17 5 6 9 16 14 203145.14891994905
 18 5 6 9 16 14 214719.80320173418
 19 4 7 8 17 14 225144.24912913798
 20 5 6 9 16 14 235715.75259374667
 21 5 6 9 16 14 245959.29099303475
 22 5 6 9 16 14 256603.0462292784
 23 5 6 9 16 14 266742.5917430059
 24 5 6 9 16 14 277606.2293085044
 25 4 6 9 17 14 288332.2422604428
 26 4 6 9 17 14 299104.2413645783
 27 5 6 8 17 14 309047.8869097343
 28 5 6 9 16 14 319509.942739211
 29 5 6 9 16 14 330059.0410421603
 30 5 6 9 16 14 340312.7531551949
 31 5 6 9 16 14 350629.1780993434
 32 5 6 9 16 14 360693.943204039
 33 5 6 9 16 14 371824.3046059076
 34 6 6 9 15 14 382670.65404780366
 35 6 6 9 15 14 393497.6865782673
 36 6 6 9 15 14 404333.0653377592
 37 5 6 9 16 14 414740.6991367915
 38 5 6 9 16 14 425708.31087305804
 39 5 6 9 16 14 435607.6425399955
 40 5 6 9 16 14 446238.4872945933
 41 5 6 10 16 13 456922.8276072376
 42 5 6 10 16 13 467101.314709602
 43 7 5 11 14 13 478032.38452332537
 44 6 6 10 15 13 489105.62003647466
 45 6 6 10 15 13 499187.8613665051
 46 6 6 9 16 13 509705.57300280116
 47 5 7 10 14 14 520464.6483052488
 48 5 6 9 17 13 530901.011428571
 49 4 7 10 16 13 541587.121835248
 50 5 6 10 16 13 552332.8845939557
 51 5 6 10 16 13 563306.9332868238
 52 4 6 11 16 13 574116.7116688351
 53 6 6 10 15 13 585163.7106961965
 54 5 6 11 15 13 596127.0363310386
 55 5 6 10 16 13 606453.910171412
 56 6 6 10 15 13 617573.0787315422
 57 6 6 10 15 13 628789.8571175907
 58 5 6 10 16 13 639066.6604610999
 59 5 6 11 15 13 650214.0465994335
 60 5 6 9 16 14 660883.7592681653
 61 5 6 9 16 14 671979.478369732
 62 5 6 10 15 14 683142.994669834
 63 5 6 9 16 14 692991.6120742488
 64 5 6 9 16 14 703458.2070885672
 65 6 6 9 15 14 713711.8574702091
 66 6 6 9 15 14 724676.553442696
 67 6 6 9 15 14 735897.2793719762
 68 6 6 8 16 14 746948.3749647307
 69 6 6 8 16 14 757686.1699233889
 70 6 6 9 15 14 769459.7530472805
 71 4 7 9 16 14 780351.2066219875
 72 5 6 8 17 14 790729.7176059042
 73 5 6 8 17 14 801410.4832067272
 74 5 6 8 17 14 811913.4100325905
 75 5 6 8 17 14 822778.7752766304
 76 5 6 8 17 14 832094.346899603
 77 5 6 8 17 14 842478.4036670821
 78 5 6 9 16 14 852818.1552474654
 79 6 6 8 16 14 863926.0979049009
 80 4 6 9 17 14 874092.6411978654
 81 5 6 8 17 14 884676.2753837301
 82 5 6 8 17 14 895221.1302545336
 83 6 6 8 16 14 905957.5746681495
 84 5 6 9 15 15 917198.843593201
 85 5 6 9 16 14 927785.7826101086
 86 5 6 9 16 14 938957.1669836892
 87 5 6 9 16 14 949281.0040311675
 88 5 6 9 16 14 959759.9057664005
 89 6 6 8 16 14 969919.6922438963
 90 6 6 8 16 14 979624.3250154251
 91 6 6 8 16 14 990019.4776622057
 92 6 6 8 16 14 1000480.5682351114
 93 5 6 9 16 14 1010475.7733390918
 94 5 6 9 16 14 1021309.6351192162
 95 5 6 8 17 14 1031810.5715770085
 96 5 6 8 17 14 1042973.5391190967
 97 5 6 8 17 14 1052995.040070156
 98 6 6 8 16 14 1063746.0144436078
 99 6 5 8 17 14 1073142.687995772
 100 6 5 8 17 14 1083415.7657344525
 101 5 6 8 17 14 1093839.6886791554
 102 6 6 8 16 14 1103988.1471598602
 103 6 6 8 16 14 1114530.9032788023
 104 6 6 8 16 14 1124851.973602075
 105 5 6 11 14 14 1135580.3724832472
 106 6 6 9 15 14 1146073.9226905724
 107 5 6 10 15 14 1156696.2680590262
 108 6 6 9 15 14 1167661.2883940353
 109 4 6 10 16 14 1177996.106291366
 110 5 6 9 16 14 1188426.471412617
 111 5 6 8 17 14 1197689.325784555
 112 5 6 8 17 14 1207964.9933972883
 113 5 6 8 17 14 1218534.7502215237
 114 5 6 8 17 14 1228724.3102127453
 115 5 6 8 17 14 1239116.7433838435
 116 5 6 8 17 14 1248823.1070674588
 117 5 6 8 17 14 1259661.395887573
 118 5 6 9 17 13 1269674.8903749695
 119 6 6 9 16 13 1280808.0443001334
 120 6 6 9 16 13 1291224.2145040182
 121 6 6 9 15 14 1303121.80712164
 122 6 6 9 16 13 1313875.647374497
 123 6 6 10 15 13 1324636.720987667
 124 6 6 9 16 13 1335453.1417842223
 125 6 6 8 16 14 1346452.5577456406
 126 5 6 8 17 14 1355752.236626394
 127 5 6 8 17 14 1366444.7583363536
 128 5 6 9 16 14 1377547.2508035433
 129 5 6 9 16 14 1387701.0422292023
 130 5 6 9 16 14 1398339.2035681927
