 "ticks" "state 0" "state 1" "state 2" "state 3" "state 4" "bioenergy success"
 0 10 14 7 11 8 25709.5995
 1 8 12 12 12 6 24393.917267708937
 2 8 12 8 11 11 23429.214871000037
 3 7 13 8 13 9 22516.344347195383
 4 7 12 9 12 10 21521.3582684971
 5 8 11 9 12 10 20450.811217792296
 6 8 11 9 12 10 19379.498563509416
 7 8 11 9 12 10 18280.43704832181
 8 8 11 9 12 10 17183.48823970159
 9 8 11 9 12 10 16111.537059127153
 10 8 11 9 12 10 15068.985853575592
 11 8 11 9 12 10 14025.379108906996
 12 8 11 9 12 10 12973.15359372613
 13 8 11 9 12 10 11929.889501808322
 14 8 11 9 12 10 10841.35743583604
 15 8 11 9 12 10 9791.981850802515
 16 8 11 9 12 10 8782.284729491925
 17 8 11 9 12 10 7763.608529893763
 18 8 11 9 12 10 6764.254549726802
 19 8 11 9 12 10 5721.225165812755
 20 8 11 9 12 10 4667.647259513021
 21 8 11 9 12 10 3675.5737333149987
 22 8 11 9 12 10 2651.8093850398513
 23 8 11 9 12 10 1646.7634154482841
 24 8 11 9 12 10 617.6193275173338
 25 8 11 9 12 10 -414.86451673489535
 26 8 11 9 12 10 -1409.966687054053
 27 8 11 9 12 10 -2460.055937200822
 28 8 11 9 12 10 -3482.734158234895
 29 8 11 9 12 10 -4452.0244289349075
 30 8 11 9 12 10 -5411.9947898633045
 31 8 11 9 12 10 -6412.078970902218
 32 8 11 9 12 10 -7443.34724935712
 33 8 11 9 12 10 -8460.39555605331
 34 8 11 9 12 10 -9485.962046005878
 35 8 11 9 12 10 -10460.680578166275
 36 8 11 9 12 10 -11403.311178312826
 37 8 11 9 12 10 -12404.511816225757
 38 8 11 9 12 10 -13351.810960385345
 39 8 11 9 12 10 -14365.72287184754
 40 8 11 9 12 10 -15355.940634250275
 41 8 11 9 12 10 -16286.417466973513
 42 8 11 9 12 10 -17244.014095319177
 43 8 11 9 12 10 -18242.575667206893
 44 8 11 9 12 10 -19261.16310827413
 45 8 11 9 12 10 -20360.144676343116
 46 8 11 9 12 10 -21385.049324519463
 47 8 11 9 12 10 -22418.155222224003
 48 8 11 9 12 10 -23411.477975019865
 49 8 11 9 12 10 -24430.43701321056
 50 8 11 9 12 10 -25522.221965160334
 51 8 11 9 12 10 -26499.08763419433
 52 8 11 9 12 10 -27510.883062562454
 53 8 11 9 12 10 -28519.396802098818
 54 8 11 9 12 10 -29552.97295844728
 55 8 11 9 12 10 -30510.180461915614
 56 8 11 9 12 10 -31452.725392763132
 57 8 11 9 12 10 -32504.851745587974
 58 8 11 9 12 10 -33481.33277309438
 59 8 11 9 12 10 -34469.54902563647
 60 8 11 9 12 10 -35409.02095804341
 61 8 11 9 12 10 -36424.201917354505
 62 8 11 9 12 10 -37446.69289258553
 63 8 11 9 12 10 -38469.33368485191
 64 8 11 9 12 10 -39459.713941349175
 65 8 11 9 12 10 -40425.512148649286
 66 8 11 9 12 10 -41359.02802407273
 67 8 11 9 12 10 -42402.41021147068
 68 8 11 9 12 10 -43393.045922206504
 69 8 11 9 12 10 -44414.5057878737
 70 8 11 9 12 10 -45455.78096853347
 71 8 11 9 12 10 -46418.497615673485
 72 8 11 9 12 10 -47448.062100371135
 73 8 11 9 12 10 -48424.07736146278
 74 8 11 9 12 10 -49453.81841466177
 75 8 11 9 12 10 -50479.28407001083
 76 8 11 9 12 10 -51485.47706505697
 77 8 11 9 12 10 -52460.65184935306
 78 8 11 9 12 10 -53498.2196571678
 79 8 11 9 12 10 -54560.2388162453
 80 8 11 9 12 10 -55580.40632843177
 81 8 11 9 12 10 -56602.00317484928
 82 8 11 9 12 10 -57665.40653393118
 83 8 11 9 12 10 -58728.19728910268
 84 8 11 9 12 10 -59764.24006713524
 85 8 11 9 12 10 -60829.38926834399
 86 8 11 9 12 10 -61866.73332907433
 87 8 11 9 12 10 -62848.53978025931
 88 8 11 9 12 10 -63861.416216197766
 89 8 11 9 12 10 -64809.26964220414
 90 8 11 9 12 10 -65786.70086005674
 91 8 11 9 12 10 -66778.42065890404
 92 8 11 9 12 10 -67794.28563446934
 93 8 11 9 12 10 -68813.0927069866
 94 8 11 9 12 10 -69805.73681557135
 95 8 11 9 12 10 -70802.54279207259
 96 8 11 9 12 10 -71798.61750107404
 97 8 11 9 12 10 -72826.59567225413
 98 8 11 9 12 10 -73874.44510346759
 99 8 11 9 12 10 -74861.50173523385
 100 8 11 9 12 10 -75819.51479349544
 101 8 11 9 12 10 -76842.68493224875
 102 8 11 9 12 10 -77834.02547078542
 103 8 11 9 12 10 -78828.88651407459
 104 8 11 9 12 10 -79844.30974678669
 105 8 11 9 12 10 -80845.16354710216
 106 8 11 9 12 10 -81843.77326863096
 107 8 11 9 12 10 -82866.51461237647
 108 8 11 9 12 10 -83924.67573159395
 109 8 11 9 12 10 -84923.73132544519
 110 8 11 9 12 10 -85888.04054919326
 111 8 11 9 12 10 -86898.75652294607
 112 8 11 9 12 10 -87893.55894389657
 113 8 11 9 12 10 -88915.46760247584
 114 8 11 9 12 10 -89898.11604983611
 115 8 11 9 12 10 -90900.15208505234
 116 8 11 9 12 10 -91889.41995564793
 117 8 11 9 12 10 -92908.22549981349
 118 8 11 9 12 10 -93928.04769437994
 119 8 11 9 12 10 -94932.11194323322
 120 8 11 9 12 10 -95891.32850909418
 121 8 11 9 12 10 -96923.76807668766
 122 8 11 9 12 10 -97872.03216347963
 123 8 11 9 12 10 -98871.24712424813
 124 8 11 9 12 10 -99870.59726505785
 125 8 11 9 12 10 -100865.39357268171
 126 8 11 9 12 10 -101827.49897028267
 127 8 11 9 12 10 -102788.80126652746
 128 8 11 9 12 10 -103784.2977317139
 129 8 11 9 12 10 -104754.69990138098
 130 8 11 9 12 10 -105727.85035915552
 131 8 11 9 12 10 -106683.67468848191
 132 8 11 9 12 10 -107680.54619431809
 133 8 11 9 12 10 -108668.72732504645
 134 8 11 9 12 10 -109653.36902955825
 135 8 11 9 12 10 -110600.86132393965
 136 8 11 9 12 10 -111644.5502267777
 137 8 11 9 12 10 -112657.08488941104
 138 8 11 9 12 10 -113679.45077541504
 139 8 11 9 12 10 -114681.18362891812
 140 8 11 9 12 10 -115732.37282568241
 141 8 11 9 12 10 -116800.5046975347
 142 8 11 9 12 10 -117792.22145607787
 143 8 11 9 12 10 -118827.73374233054
 144 8 11 9 12 10 -119791.29324600939
 145 8 11 9 12 10 -120639.16059944335
 146 8 11 9 12 10 -121498.70229640705
 147 8 11 9 12 10 -122355.20087026863
 148 8 11 9 12 10 -123208.4648093795
 149 8 11 9 12 10 -124093.0269737245
 150 8 11 9 12 10 -124987.20639957029
 151 8 11 9 12 10 -125844.34070137568
 152 8 11 9 12 10 -126828.84842111995
 153 8 11 9 12 10 -127749.79872495051
 154 8 11 9 12 10 -128639.44891648012
 155 8 11 9 12 10 -129457.85734100446
 156 8 11 9 12 10 -130367.55312647916
 157 8 11 9 12 10 -131253.9269328182
 158 8 11 9 12 10 -132157.07109765205
 159 8 11 9 12 10 -132988.81353639736
 160 8 11 9 12 10 -133869.0057999653
 161 8 11 9 12 10 -134837.88804784254
 162 8 11 9 12 10 -135786.03559639156
 163 8 11 9 12 10 -136623.13854033474
 164 8 11 9 12 10 -137521.3864972796
 165 8 11 9 12 10 -138357.33552672894
 166 8 11 9 12 10 -139282.89914023498
 167 8 11 9 12 10 -140209.88156848235
 168 8 11 9 12 10 -141127.16351209005
 169 8 11 9 12 10 -141997.50378595368
 170 8 11 9 12 10 -142941.76168587443
 171 8 11 9 12 10 -143815.64718758682
 172 8 11 9 12 10 -144705.0675973759
 173 8 11 9 12 10 -145699.70772107545
 174 8 11 9 12 10 -146544.72701650544
 175 8 11 9 12 10 -147485.59645227308
 176 8 11 9 12 10 -148420.0455509658
 177 8 11 9 12 10 -149296.46664273218
 178 8 11 9 12 10 -150203.79662759547
 179 8 11 9 12 10 -151160.6211919813
 180 8 11 9 12 10 -152047.82127635196
 181 8 11 9 12 10 -153019.7500795714
 182 8 11 9 12 10 -153935.12109862347
 183 8 11 9 12 10 -154812.36860554447
 184 8 11 9 12 10 -155742.31491076126
 185 8 11 9 12 10 -156659.2795558962
 186 8 11 9 12 10 -157556.5505223333
 187 8 11 9 12 10 -158415.47901599234
 188 8 11 9 12 10 -159273.79260284881
 189 8 11 9 12 10 -160113.33310769222
 190 8 11 9 12 10 -160974.93571663753
 191 8 11 9 12 10 -161824.58819573032
 192 8 11 9 12 10 -162697.1066401168
 193 8 11 9 12 10 -163651.6746282112
 194 8 11 9 12 10 -164631.26868756345
 195 8 11 9 12 10 -165547.09250935423
 196 8 11 9 12 10 -166504.3788024113
 197 8 11 9 12 10 -167408.1159357037
 198 8 11 9 12 10 -168367.13097230982
 199 8 11 9 12 10 -169240.68475116068
 200 8 11 9 12 10 -170142.13569937024
 201 8 11 9 12 10 -171117.23813085048
 202 8 11 9 12 10 -171992.76374321964
 203 8 11 9 12 10 -172904.04964705196
 204 8 11 9 12 10 -173892.01344819338
 205 8 11 9 12 10 -174818.11294418183
 206 8 11 9 12 10 -175733.68808951188
 207 8 11 9 12 10 -176673.66564144235
 208 8 11 9 12 10 -177498.28423955402
 209 8 11 9 12 10 -178351.5228505166
 210 8 11 9 12 10 -179274.3898570031
 211 8 11 9 12 10 -180151.15416843534
 212 8 11 9 12 10 -181006.4143526875
 213 8 11 9 12 10 -181852.3080405859
 214 8 11 9 12 10 -182714.89492023748
 215 8 11 9 12 10 -183559.93380570973
 216 8 11 9 12 10 -184375.1280787634
 217 8 11 9 12 10 -185261.1080157768
 218 8 11 9 12 10 -186156.98940937882
 219 8 11 9 12 10 -187021.84725548647
 220 8 11 9 12 10 -187870.40861199584
 221 8 11 9 12 10 -188721.74027699654
 222 8 11 9 12 10 -189620.79214095228
 223 8 11 9 12 10 -190433.85430538352
 224 8 11 9 12 10 -191274.8613491027
 225 8 11 9 12 10 -192208.40727634812
 226 8 11 9 12 10 -193039.00992994066
 227 8 11 9 12 10 -193940.33592682323
 228 8 11 9 12 10 -194887.2537612892
 229 8 11 9 12 10 -195794.2803138596
 230 8 11 9 12 10 -196621.33132619792
 231 8 11 9 12 10 -197476.56550420413
 232 8 11 9 12 10 -198291.73338587896
 233 8 11 9 12 10 -199164.24187232237
 234 8 11 9 12 10 -200042.35513926027
 235 8 11 9 12 10 -200921.3271794898
 236 8 11 9 12 10 -201747.16647476668
 237 8 11 9 12 10 -202599.9864528608
 238 8 11 9 12 10 -203436.17232095718
 239 8 11 9 12 10 -204247.75073073644
 240 8 11 9 12 10 -205205.1428430299
 241 8 11 9 12 10 -206098.70551096453
 242 8 11 9 12 10 -206949.9128798623
 243 8 11 9 12 10 -207800.50916916915
 244 8 11 9 12 10 -208733.46377589257
 245 8 11 9 12 10 -209602.2508615732
 246 8 11 9 12 10 -210549.31236345548
 247 8 11 9 12 10 -211373.36669754738
 248 8 11 9 12 10 -212255.31971120776
 249 8 11 9 12 10 -213099.75710137465
 250 8 11 9 12 10 -214011.61172416623
 251 8 11 9 12 10 -214863.3121078242
 252 8 11 9 12 10 -215790.10915678498
 253 8 11 9 12 10 -216696.6240581717
 254 8 11 9 12 10 -217586.5370417537
 255 8 11 9 12 10 -218440.09982684132
 256 8 11 9 12 10 -219286.46904293812
 257 8 11 9 12 10 -220110.84308462526
 258 8 11 9 12 10 -220973.16495236036
 259 8 11 9 12 10 -221905.7618992196
 260 8 11 9 12 10 -222766.34297426685
 261 8 11 9 12 10 -223632.64648423108
 262 8 11 9 12 10 -224512.10039328184
 263 8 11 9 12 10 -225369.9971609407
 264 8 11 9 12 10 -226239.32907917572
 265 8 11 9 12 10 -227117.69388713696
 266 8 11 9 12 10 -227974.62322996373
 267 8 11 9 12 10 -228877.90757899135
 268 8 11 9 12 10 -229754.3438603657
 269 8 11 9 12 10 -230688.2366113959
 270 8 11 9 12 10 -231511.61454472927
 271 8 11 9 12 10 -232392.00092928667
 272 8 11 9 12 10 -233374.3433071726
 273 8 11 9 12 10 -234344.52705706574
 274 8 11 9 12 10 -235318.32348436784
 275 8 11 9 12 10 -236376.031962958
 276 8 11 9 12 10 -237338.23698817645
 277 8 11 9 12 10 -238320.561613219
 278 8 11 9 12 10 -239296.41407379255
 279 8 11 9 12 10 -240374.90296080412
 280 8 11 9 12 10 -241393.7024048451
 281 8 11 9 12 10 -242416.62949327863
 282 8 11 9 12 10 -243375.50216683265
 283 8 11 9 12 10 -244427.7713891356
 284 8 11 9 12 10 -245505.4258856329
 285 8 11 9 12 10 -246504.4003477019
 286 8 11 9 12 10 -247521.22127108526
 287 8 11 9 12 10 -248510.0389389852
 288 8 11 9 12 10 -249536.94715106869
 289 8 11 9 12 10 -250528.4050686053
 290 8 11 9 12 10 -251539.27359741845
 291 8 11 9 12 10 -252511.7646817944
 292 8 11 9 12 10 -253512.63775423644
 293 8 11 9 12 10 -254508.1010154004
 294 8 11 9 12 10 -255522.53287414063
 295 8 11 9 12 10 -256507.9566036231
 296 8 11 9 12 10 -257471.0359063211
 297 8 11 9 12 10 -258534.57824653428
 298 8 11 9 12 10 -259532.51421511994
 299 8 11 9 12 10 -260506.55492310628
 300 8 11 9 12 10 -261537.8052774579
 301 8 11 9 12 10 -262513.1747315982
 302 8 11 9 12 10 -263549.6857731261
 303 8 11 9 12 10 -264545.9796252991
 304 8 11 9 12 10 -265594.4409314065
 305 8 11 9 12 10 -266664.55143415654
 306 8 11 9 12 10 -267654.90724980854
 307 8 11 9 12 10 -268679.8530713807
 308 8 11 9 12 10 -269705.1665260985
 309 8 11 9 12 10 -270669.08854847064
 310 8 11 9 12 10 -271758.15169672365
 311 8 11 9 12 10 -272810.11411977606
 312 8 11 9 12 10 -273873.020881865
 313 8 11 9 12 10 -274897.12348144
 314 8 11 9 12 10 -275900.721157077
 315 8 11 9 12 10 -276919.28583350766
 316 8 11 9 12 10 -278012.83684631233
 317 8 11 9 12 10 -279071.6121672454
 318 8 11 9 12 10 -280136.1788324801
 319 8 11 9 12 10 -281120.31024856586
 320 8 11 9 12 10 -282075.5492087981
 321 8 11 9 12 10 -283073.4861869251
 322 8 11 9 12 10 -284128.886950916
 323 8 11 9 12 10 -285194.31089598086
 324 8 11 9 12 10 -286194.8593966003
 325 8 11 9 12 10 -287240.5608222813
 326 8 11 9 12 10 -288225.82498054876
 327 8 11 9 12 10 -289255.05276742915
 328 8 11 9 12 10 -290215.1073898152
 329 8 11 9 12 10 -291223.6240752506
 330 8 11 9 12 10 -292204.9227514352
 331 8 11 9 12 10 -293195.60288739053
 332 8 11 9 12 10 -294198.0927672803
 333 8 11 9 12 10 -295262.5481364245
 334 8 11 9 12 10 -296252.0851656874
 335 8 11 9 12 10 -297274.2386193044
 336 8 11 9 12 10 -298258.654733534
 337 8 11 9 12 10 -299320.384113772
 338 8 11 9 12 10 -300366.96894131805
 339 8 11 9 12 10 -301364.38089765987
 340 8 11 9 12 10 -302329.63295031135
 341 8 11 9 12 10 -303248.8964725135
 342 8 11 9 12 10 -304263.12695877126
 343 8 11 9 12 10 -305320.7478838628
 344 8 11 9 12 10 -306344.75391887
 345 8 11 9 12 10 -307419.2584467978
 346 8 11 9 12 10 -308357.7116303846
 347 8 11 9 12 10 -309389.24702463596
 348 8 11 9 12 10 -310395.2865771614
 349 8 11 9 12 10 -311491.2506791361
 350 8 11 9 12 10 -312556.7267659746
 351 8 11 9 12 10 -313540.9554013133
 352 8 11 9 12 10 -314551.8132068489
 353 8 11 9 12 10 -315570.412264697
 354 8 11 9 12 10 -316609.8175930203
 355 8 11 9 12 10 -317605.50077180646
 356 8 11 9 12 10 -318684.746414424
 357 8 11 9 12 10 -319690.2375721594
 358 8 11 9 12 10 -320643.3532266945
 359 8 11 9 12 10 -321695.97947630147
 360 8 11 9 12 10 -322684.227591527
 361 8 11 9 12 10 -323670.2803104508
 362 8 11 9 12 10 -324720.4931636421
 363 8 11 9 12 10 -325822.1624345235
 364 8 11 9 12 10 -326904.4474755428
 365 8 11 9 12 10 -327853.9699934565
 366 8 11 9 12 10 -328902.9528360019
 367 8 11 9 12 10 -329941.1371687826
 368 8 11 9 12 10 -330972.01528891025
 369 8 11 9 12 10 -332006.089451203
 370 8 11 9 12 10 -333020.54386110033
 371 8 11 9 12 10 -334090.31298152584
 372 8 11 9 12 10 -335100.63841068756
 373 8 11 9 12 10 -336055.1794818402
 374 8 11 9 12 10 -337062.85792958597
 375 8 11 9 12 10 -338039.05436917377
 376 8 11 9 12 10 -339042.68497725966
 377 8 11 9 12 10 -340013.17260337825
 378 8 11 9 12 10 -340986.3953580577
 379 8 11 9 12 10 -341970.1437731106
 380 8 11 9 12 10 -342921.7506279209
 381 8 11 9 12 10 -343902.36703076394
 382 8 11 9 12 10 -344859.46605582343
 383 4 14 4 16 12 26825.201732990685
 384 1 12 6 20 11 26256.162154745427
 385 0 12 6 18 14 25782.34951107698
 386 0 11 5 19 15 25400.553266567647
 387 0 11 5 19 15 24999.53148054994
 388 0 11 5 18 16 24609.41367553761
 389 0 11 5 17 17 24218.476958655752
 390 0 11 5 17 17 23819.610207352656
 391 0 11 5 17 17 23404.680534071937
 392 0 11 5 17 17 23044.68715664363
 393 0 11 5 17 17 22692.45141091705
 394 0 11 5 17 17 22382.63364767152
 395 0 11 5 17 17 22044.28953158811
