 "year" "mean season Bio-E" "fcm convergence" "probability of mutation" "mutated?" "recombined?" "decay-rate" "energy-gain" "ndvi-weight" "caribou-veg-factor" "caribou-rough-factor" "caribou-insect-factor" "caribou-modifier-factor" "caribou-deflection-factor" "caribou-precip-factor" "solution success"
 0 6761508.229113772 0 0 0 0 0.145 0.708 0.209 0.422 0.118 0.394 0.215 0.941 0.489 0
 1 8926371.417117633 0 0 0 0 0.145 0.708 0.209 0.422 0.118 0.394 0.215 0.941 0.489 0
 2 1.1481588678747406E7 0.43999999999999995 0.43999999999999995 0 0 0.145 0.708 0.209 0.422 0.118 0.394 0.215 0.941 0.489 0
 3 1.2218977152482785E7 0.5800000000000001 0.5800000000000001 0 0 0.145 0.708 0.209 0.422 0.118 0.394 0.215 0.941 0.489 0
 4 1.2455711968598342E7 0.6799999999999999 0.6799999999999999 0 0 0.145 0.708 0.209 0.422 0.118 0.394 0.215 0.941 0.489 0
 5 1.2290506740668064E7 0.6599999999999999 0.6599999999999999 1 0 0.145 0.708 0.209 0.422 0.118 0.394 0.215 0.941 0.489 0
 6 1.1854780563452547E7 0.76 0.76 1 0 0.33100000000000007 0.28099999999999997 0 0.9159999999999999 0.612 0.888 0 1 0.675 0
 7 2.9535656250507746E7 0.7 0.7 0 0 0.7040000000000001 0.6539999999999999 0.44599999999999995 1 0.721 0.997 0.44599999999999995 1 1 0
 8 2.9194215159051023E7 0.72 0.72 0 0 0.7040000000000001 0.6539999999999999 0.44599999999999995 1 0.721 0.997 0.44599999999999995 1 1 0
 9 2.833301554987989E7 0.72 0.72 1 0 0.7040000000000001 0.6539999999999999 0.44599999999999995 1 0.721 0.997 0.44599999999999995 1 1 0
 10 4.37899075578607E7 0.7 0.7 0 0 0.4060000000000001 1 0.496 1 0.423 1 0.9149999999999999 1 0.702 0
 11 4.445732299684868E7 0.64 0.64 1 0 0.4060000000000001 1 0.496 1 0.423 1 0.9149999999999999 1 0.702 0
 12 2.3451694660725214E7 0.64 0.64 1 0 0.024000000000000077 0.845 0.333 0.618 0.26 0.618 0.7599999999999999 0.837 0.5469999999999999 0
 13 8999140.459327662 0.64 0.64 1 0 0.20800000000000013 0.747 0.02200000000000002 0.307 0.16200000000000003 0.307 0.944 1 0.44899999999999995 0
 14 -4095946.7988676187 0.64 0.64 0 0 0.09900000000000014 0.6990000000000001 0 0 0 0 0.835 0.952 0.40099999999999997 0
 15 -4010130.4354070486 0.72 0.72 1 0 0.09900000000000014 0.6990000000000001 0 0 0 0 0.835 0.952 0.40099999999999997 0
 16 7646657.762781922 0.78 0.78 1 0 0.36400000000000016 0.7130000000000001 0 0.265 0.014000000000000012 0.014000000000000012 0.7629999999999999 1 0.32899999999999996 0
 17 2.148854499236237E7 0.8200000000000001 0.8200000000000001 1 0 0 0.9610000000000001 0 0.513 0 0 1 0.627 0 0
 18 932212.2238137238 0.74 0.2797822108990117 0 0 0.362 0.5150000000000001 0 0.14 0 0.362 0.627 0.989 0 0.9204355782019766
 19 793741.5972608757 0.76 0.2733327206517546 0 0 0.362 0.5150000000000001 0 0.14 0 0.362 0.627 0.989 0 0.9733345586964908
 20 1223399.4229644868 0.7 0.351476571908127 1 0 0.362 0.5150000000000001 0 0.14 0 0.362 0.627 0.989 0 0.697046856183746
 21 1504356.7237741267 0.6799999999999999 0.43924692127891324 1 0 0.362 0.5150000000000001 0 0.14 0.32099999999999995 0.362 0.627 0.989 0 0.4815061574421734
 22 -715656.9367146525 0.64 0.64 1 0 0.22999999999999998 0.5410000000000001 0 0.065 0.347 0.287 0.552 1 0 0
 23 1.0686888391443733E7 0.64 0.64 1 0 0.28900000000000003 0.6000000000000002 0.11199999999999999 0.39899999999999997 0.406 0.621 0.886 1 0.11199999999999999 0
 24 2.5872195048676882E7 0.72 0.72 1 0 0.266 0.5770000000000002 0 0.8089999999999999 0.8160000000000001 0.14400000000000002 0.40900000000000003 0.977 0.522 0
 25 1.0583112088521585E7 0.64 0.64 1 0 0.118 0.4550000000000002 0 0.46499999999999997 0.668 0.02200000000000002 0.06500000000000006 0.855 0.374 0
 26 4.969300062066018E7 0.6799999999999999 0.6799999999999999 0 0 0.09899999999999998 0.9380000000000002 0 0.948 0.649 0.0050000000000000044 0.548 0.838 0.357 0
