 "year" "mean season Bio-E" "fcm convergence" "probability of mutation" "mutated?" "recombined?" "decay-rate" "energy-gain" "ndvi-weight" "caribou-veg-factor" "caribou-rough-factor" "caribou-insect-factor" "caribou-modifier-factor" "caribou-deflection-factor" "caribou-precip-factor" "solution success"
 0 -2413379.1018113494 0 0 0 0 0.75 0.085 0.531 0.231 0.52 0.878 0.464 0.024 0.03 0
 1 -534018.2640019238 0 0 0 0 0.75 0.085 0.531 0.231 0.52 0.878 0.464 0.024 0.03 0
 2 -39642.35107473748 0.33999999999999997 0.17300435407546505 0 0 0.75 0.085 0.531 0.231 0.52 0.878 0.464 0.024 0.03 0.33399129184906984
 3 -42569.0038687975 0.38 0.2141269673451467 0 0 0.75 0.085 0.531 0.231 0.52 0.878 0.464 0.024 0.03 0.33174606530970663
 4 -290383.3177188969 0.28 0.20918424154925092 1 1 0.75 0.085 0.531 0.231 0.52 0.878 0.464 0.024 0.03 0.14163151690149822
 5 5259360.237924673 0.24 0.24 0 0 1 0.459 0.6990000000000001 0.399 0.257 0.615 0.201 0.19200000000000003 0.404 0
 6 6178842.079790547 0.26 0.26 1 1 1 0.459 0.6990000000000001 0.399 0.257 0.615 0.201 0.19200000000000003 0.404 0
 7 -2502955.9420000035 0.21999999999999997 0.21999999999999997 0 0 0.534 0 0.46 0.014999999999999986 0.014999999999999986 0.16 0 0 0.16 0
 8 -1383453.1835000005 0.28 0.28 1 1 0.534 0 0.46 0.014999999999999986 0.014999999999999986 0.16 0 0 0.16 0
 9 -201516.22569708058 0.28 0.175096365821665 0 0 0.525 0.081 0.19000000000000006 0.30600000000000005 0.19000000000000006 0.527 0.19000000000000006 0.527 0.30600000000000005 0.20980726835667007
 10 382530.7108864025 0.38 0.051066087116838355 0 0 0.525 0.081 0.19000000000000006 0.30600000000000005 0.19000000000000006 0.527 0.19000000000000006 0.527 0.30600000000000005 0.6578678257663233
